9,1,675,75,9,7,1,2,5,0,0,0
9,2,2250,250,9,27,1,2,5,0,0,0
9,3,3375,375,10,37,1,2,6,0,0,0
9,4,4500,500,15,33,2,3,6,3,0,0
9,5,5625,625,17,36,2,3,7,4,0,0
9,6,6750,750,19,39,2,4,8,4,0,0
9,7,7875,875,23,39,3,4,10,5,0,0
10,8,10000,1000,31,32,4,5,15,6,0,0
1,9,1125,1125,32,35,4,6,15,6,0,0
1,10,1250,1250,36,34,5,7,16,7,0,0
1,11,1375,1375,37,37,5,8,16,7,0,0
1,12,1500,1500,40,37,6,8,17,8,0,0
2,13,3250,1625,41,39,6,9,17,8,0,0
2,14,3500,1750,44,39,7,9,18,9,0,0
2,15,3750,1875,46,40,8,10,18,9,0,0
3,16,6000,2000,49,40,9,10,19,10,0,0
4,17,8500,2125,51,41,10,10,20,10,0,0
